date,Air Temp ˚F,Precipitation (inches),Relative Humidity (%),Leaf Wetness (minutes),Wind Speed (mph),Wind Direction (degrees)
1/1/2024 0:00,33.3,0.02,99,60,1.6,20
1/1/2024 1:00,33.6,0.01,99,60,2.2,20
1/1/2024 2:00,34.2,0,99,60,0,20
1/1/2024 3:00,34.5,0.01,99,60,2.2,4
1/1/2024 4:00,33.3,0,99,60,0,4
1/1/2024 5:00,32.2,0,100,60,0,4
1/1/2024 6:00,32.5,0,100,60,0.7,302
1/1/2024 7:00,33.6,0,100,60,0.7,274
1/1/2024 8:00,33.8,0,100,60,1.6,129
1/1/2024 9:00,34.9,0,100,60,0,93
1/1/2024 10:00,36.7,0,100,60,1.6,94
1/1/2024 11:00,38.3,0,94,60,2.2,329
1/1/2024 12:00,38.5,0,87,19,6,298
1/1/2024 13:00,38.7,0,86,12,5.1,285
1/1/2024 14:00,38.3,0,87,18,3.8,307
1/1/2024 15:00,37.8,0,88,53,6,313
1/1/2024 16:00,37,0,91,60,2.9,336
1/1/2024 17:00,37.4,0,90,36,6,323
1/1/2024 18:00,37.6,0,87,12,8.3,317
1/1/2024 19:00,37.2,0,88,12,6.7,306
1/1/2024 20:00,36.9,0,89,12,4.5,300
1/1/2024 21:00,36.9,0,89,12,2.9,292
1/1/2024 22:00,36.9,0,89,12,2.2,254
1/1/2024 23:00,38.3,0,83,12,5.1,313
1/2/2024 0:00,37,0,87,12,2.9,220
1/2/2024 1:00,37.8,0,82,12,2.9,312
1/2/2024 2:00,36.5,0,80,12,7.4,337
1/2/2024 3:00,34.3,0,78,12,5.1,314
1/2/2024 4:00,33.6,0,79,12,7.4,324
1/2/2024 5:00,33.6,0,79,12,5.1,310
1/2/2024 6:00,33.1,0,76,12,6.7,326
1/2/2024 7:00,32.4,0,76,12,5.1,317
1/2/2024 8:00,32.5,0,75,12,6,320
1/2/2024 9:00,33.3,0,74,12,6,321
1/2/2024 10:00,34.3,0,73,12,6.7,337
1/2/2024 11:00,37.4,0,70,12,8.9,321
1/2/2024 12:00,39,0,65,12,6.7,296
1/2/2024 13:00,39.6,0,63,12,7.4,277
1/2/2024 14:00,40.1,0,64,12,8.9,310
1/2/2024 15:00,40.3,0,63,12,7.4,310
1/2/2024 16:00,40.1,0,62,12,3.8,274
1/2/2024 17:00,36.1,0,71,12,2.9,285
1/2/2024 18:00,32.4,0,78,12,1.6,299
1/2/2024 19:00,31.5,0,78,12,2.2,309
1/2/2024 20:00,31.8,0,77,12,0.7,250
1/2/2024 21:00,29.8,0,82,12,0.7,314
1/2/2024 22:00,29.1,0,85,12,0.7,286
1/2/2024 23:00,29.8,0,82,12,1.6,180
1/3/2024 0:00,28.4,0,85,12,0.7,247
1/3/2024 1:00,28.6,0,84,12,0.7,258
1/3/2024 2:00,28.2,0,85,12,0.7,293
1/3/2024 3:00,29.3,0,85,12,0.7,278
1/3/2024 4:00,29.3,0,85,12,1.6,278
1/3/2024 5:00,29.3,0,85,12,1.6,275
1/3/2024 6:00,30,0,84,12,0.7,248
1/3/2024 7:00,29.1,0,85,12,0,209
1/3/2024 8:00,30.7,0,83,12,0.7,250
1/3/2024 9:00,33.6,0,82,12,1.6,250
1/3/2024 10:00,37.2,0,72,12,2.9,264
1/3/2024 11:00,39.9,0,66,12,2.9,298
1/3/2024 12:00,41,0,65,11,6,237
1/3/2024 13:00,42.4,0,61,5,5.1,282
1/3/2024 14:00,43.2,0,60,8,3.8,237
1/3/2024 15:00,43.3,0,59,12,4.5,208
1/3/2024 16:00,40.8,0,62,8,4.5,204
1/3/2024 17:00,38.1,0,67,7,2.2,251
1/3/2024 18:00,34.7,0,73,12,0,251
1/3/2024 19:00,33.6,0,77,12,0.7,175
1/3/2024 20:00,34.3,0,75,12,0,175
1/3/2024 21:00,31.3,0,83,12,2.9,115
1/3/2024 22:00,31.6,0,85,12,1.6,112
1/3/2024 23:00,32.2,0,83,12,0.7,112
1/4/2024 0:00,32.7,0,82,12,1.6,112
1/4/2024 1:00,34.2,0,75,12,0.7,286
1/4/2024 2:00,37.4,0,69,12,3.8,330
1/4/2024 3:00,38.1,0,69,12,6,326
1/4/2024 4:00,37.6,0,71,12,3.8,329
1/4/2024 5:00,37.6,0,71,12,0,286
1/4/2024 6:00,37.4,0,73,12,3.8,314
1/4/2024 7:00,36.9,0,76,12,2.9,321
1/4/2024 8:00,36.7,0,77,12,6.7,292
1/4/2024 9:00,37.4,0,73,12,8.3,316
1/4/2024 10:00,37.9,0,70,12,9.6,320
1/4/2024 11:00,38.3,0,68,12,11.9,340
1/4/2024 12:00,38.3,0,57,12,11.9,337
1/4/2024 13:00,38.5,0,52,12,15,314
1/4/2024 14:00,41.5,0,51,9,7.4,309
1/4/2024 15:00,37.9,0,51,0,15,302
1/4/2024 16:00,36.9,0,52,0,9.6,296
1/4/2024 17:00,33.6,0,55,0,7.4,312
1/4/2024 18:00,32.5,0,58,0,7.4,319
1/4/2024 19:00,31.3,0,61,0,8.3,302
1/4/2024 20:00,30.4,0,63,0,9.6,320
1/4/2024 21:00,28.8,0,63,0,3.8,337
1/4/2024 22:00,28.6,0,64,0,6.7,324
1/4/2024 23:00,27.9,0,66,0,5.1,326
1/5/2024 0:00,26.1,0,68,0,0.7,312
1/5/2024 1:00,24.6,0,71,0,0,230
1/5/2024 2:00,23.7,0,72,9,1.6,20
1/5/2024 3:00,24.8,0,70,12,6,331
1/5/2024 4:00,22.6,0,72,10,0,1
1/5/2024 5:00,21.2,0,78,12,1.6,338
1/5/2024 6:00,20.1,0,79,12,2.2,291
1/5/2024 7:00,19.6,0,80,12,2.2,302
1/5/2024 8:00,21.9,0,78,12,1.6,289
1/5/2024 9:00,26.4,0,72,12,2.2,247
1/5/2024 10:00,29.5,0,67,12,2.9,247
1/5/2024 11:00,32.7,0,60,5,2.9,267
1/5/2024 12:00,34.9,0,56,0,3.8,260
1/5/2024 13:00,36.7,0,54,0,3.8,222
1/5/2024 14:00,38.1,0,53,0,5.1,181
1/5/2024 15:00,38.1,0,53,0,3.8,174
1/5/2024 16:00,36.9,0,54,0,4.5,204
1/5/2024 17:00,32.7,0,62,0,2.2,181
1/5/2024 18:00,29.3,0,69,0,0,272
1/5/2024 19:00,28.8,0,72,1,0,272
1/5/2024 20:00,28.8,0,71,11,0,272
1/5/2024 21:00,25,0,80,12,0.7,170
1/5/2024 22:00,27,0,75,12,0,38
1/5/2024 23:00,23.9,0,79,12,0,39
1/6/2024 0:00,26.1,0,76,12,0,39
1/6/2024 1:00,24.4,0,81,12,0,39
1/6/2024 2:00,25.9,0,80,12,0,39
1/6/2024 3:00,25.7,0,78,12,0,39
1/6/2024 4:00,25.3,0,78,12,0,39
1/6/2024 5:00,24.8,0,81,12,0,31
1/6/2024 6:00,25.2,0,84,12,0,31
1/6/2024 7:00,26.2,0,83,12,0,31
1/6/2024 8:00,26.2,0,87,12,2.9,38
1/6/2024 9:00,27.7,0,83,12,2.9,24
1/6/2024 10:00,28,0,86,12,2.9,18
1/6/2024 11:00,28.6,0,93,17,4.5,37
1/6/2024 12:00,28.9,0,96,32,4.5,28
1/6/2024 13:00,30.6,0,98,57,5.1,44
1/6/2024 14:00,30.6,0,98,60,4.5,35
1/6/2024 15:00,31.1,0,98,60,2.9,44
1/6/2024 16:00,31.3,0,98,60,5.1,58
1/6/2024 17:00,31.8,0,99,60,6.7,39
1/6/2024 18:00,32.4,0.04,97,60,8.9,10
1/6/2024 19:00,32.4,0.13,97,60,8.3,354
1/6/2024 20:00,33.6,0.07,97,60,3.8,37
1/6/2024 21:00,32.9,0.04,99,60,7.4,25
1/6/2024 22:00,33.3,0.02,99,60,2.2,0
