"date","Air Temp ˚F","Precipitation (inches)","Relative Humidity (%)","Leaf Wetness (minutes)","Solar Radiation (langleys)","Wind Speed (mph)","Wind Direction (degrees)"
"01/01/2024 00:00","34.5","0","98","60","0","0.7","183"
"01/01/2024 01:00","34.1","0.01","99","60","0","1.9","179"
"01/01/2024 02:00","33.8","0","99","60","0","1","157"
"01/01/2024 03:00","34","0.01","98","60","0","2.2","168"
"01/01/2024 04:00","34.3","0","99","60","0","1.1","180"
"01/01/2024 05:00","34.6","0","99","60","0","0.1","180"
"01/01/2024 06:00","34.8","0","98","60","0","0.8","247"
"01/01/2024 07:00","34.8","0","99","60","0","4.7","18"
"01/01/2024 08:00","33.5","0","100","60","0","8.8","24"
"01/01/2024 09:00","32.3","0","100","60","0","9.4","21"
"01/01/2024 10:00","31.4","0","99","60","1","8","21"
"01/01/2024 11:00","30.8","0","100","60","4","7.4","21"
"01/01/2024 12:00","30.7","0","99","60","5","7.6","13"
"01/01/2024 13:00","30.6","0","100","60","5","6.4","23"
"01/01/2024 14:00","30.4","0","98","40","4","5.8","12"
"01/01/2024 15:00","30.1","0","97","0","3","2.9","16"
"01/01/2024 16:00","30.1","0","96","0","1","0.6","347"
"01/01/2024 17:00","30.1","0","96","0","0","0.1","356"
"01/01/2024 18:00","29.7","0","94","0","0","3.5","307"
"01/01/2024 19:00","29","0","88","0","0","3.6","300"
"01/01/2024 20:00","28","0","85","0","0","3.3","315"
"01/01/2024 21:00","27.9","0","85","0","0","2.2","332"
"01/01/2024 22:00","28.2","0","87","0","0","1.2","334"
"01/01/2024 23:00","29.2","0","88","0","0","1.6","289"
"01/02/2024 00:00","29.5","0","90","0","0","4.7","290"
"01/02/2024 01:00","29.4","0","88","0","0","3.2","269"
"01/02/2024 02:00","29.3","0","87","0","0","0.4","225"
"01/02/2024 03:00","29.6","0","88","0","0","2.4","246"
"01/02/2024 04:00","29.9","0","88","0","0","2.7","245"
"01/02/2024 05:00","30","0","88","0","0","2.4","241"
"01/02/2024 06:00","30.5","0","89","0","0","3.2","239"
"01/02/2024 07:00","30.9","0","88","0","0","3.6","246"
"01/02/2024 08:00","30.9","0","89","0","0","2.8","235"
"01/02/2024 09:00","31.1","0","87","0","1","4.5","238"
"01/02/2024 10:00","30.9","0","85","0","4","5.1","240"
"01/02/2024 11:00","30.6","0","83","0","6","4.2","244"
"01/02/2024 12:00","30.7","0","83","0","7","4","241"
"01/02/2024 13:00","30.9","0","80","0","11","4.5","236"
"01/02/2024 14:00","31.5","0","80","0","11","4.9","246"
"01/02/2024 15:00","32","0","80","60","9","4","239"
"01/02/2024 16:00","32.1","0","79","60","5","4.3","238"
"01/02/2024 17:00","32.1","0","79","31","1","4.3","245"
"01/02/2024 18:00","32.1","0","80","0","0","2.6","230"
"01/02/2024 19:00","32.4","0","79","0","0","3.4","244"
"01/02/2024 20:00","32.2","0","79","0","0","3.8","255"
"01/02/2024 21:00","31.3","0.01","81","0","0","5.9","262"
"01/02/2024 22:00","30.8","0","82","0","0","4.8","244"
"01/02/2024 23:00","31.1","0","82","0","0","4.4","237"
"01/03/2024 00:00","31.2","0","82","0","0","4.6","233"
"01/03/2024 01:00","31.3","0","84","0","0","4.2","232"
"01/03/2024 02:00","30.7","0","86","0","0","4.3","231"
"01/03/2024 03:00","29.9","0","91","0","0","3.6","221"
"01/03/2024 04:00","29.8","0","93","0","0","3.6","224"
"01/03/2024 05:00","30","0","94","0","0","3.4","208"
"01/03/2024 06:00","30.2","0","94","0","0","2.9","227"
"01/03/2024 07:00","30.3","0","95","0","0","2.5","221"
"01/03/2024 08:00","30.3","0","96","0","0","3.2","215"
"01/03/2024 09:00","30.6","0","95","0","0","2.7","215"
"01/03/2024 10:00","30.8","0","95","0","2","3.6","207"
"01/03/2024 11:00","31.2","0","95","0","4","3.5","215"
"01/03/2024 12:00","31.7","0","94","0","5","3.7","219"
"01/03/2024 13:00","31.8","0","93","0","6","3.6","227"
"01/03/2024 14:00","31.7","0","93","0","4","3.2","228"
"01/03/2024 15:00","31.1","0","93","0","2","3.2","220"
"01/03/2024 16:00","31.3","0","93","0","1","3.3","219"
"01/03/2024 17:00","31.3","0","94","0","0","3.7","222"
"01/03/2024 18:00","31.5","0","94","0","0","3.4","215"
"01/03/2024 19:00","31.8","0","93","0","0","3.4","230"
"01/03/2024 20:00","31.8","0","93","0","0","3.5","236"
"01/03/2024 21:00","31.5","0","93","0","0","4.4","275"
"01/03/2024 22:00","31.1","0","96","0","0","3.8","270"
"01/03/2024 23:00","31.3","0","97","0","0","1.4","291"
"01/04/2024 00:00","31.4","0","98","0","0","2.4","270"
"01/04/2024 01:00","31.6","0","97","0","0","1.2","270"
"01/04/2024 02:00","31.9","0","96","0","0","4.1","314"
"01/04/2024 03:00","30.1","0","96","0","0","4","332"
"01/04/2024 04:00","30.1","0","89","0","0","3.8","334"
"01/04/2024 05:00","30.1","0","86","0","0","3.5","322"
"01/04/2024 06:00","29.7","0","86","0","0","4.9","326"
"01/04/2024 07:00","28.2","0","82","0","0","4","334"
"01/04/2024 08:00","26.9","0","82","0","0","4.9","334"
"01/04/2024 09:00","25.9","0","79","0","3","3.3","324"
"01/04/2024 10:00","25.7","0","82","0","4","4.7","327"
"01/04/2024 11:00","23.8","0","81","0","7","6.2","355"
"01/04/2024 12:00","23.9","0","79","0","13","3.6","312"
"01/04/2024 13:00","24.3","0","77","0","14","3.1","315"
"01/04/2024 14:00","24.1","0","76","0","12","3.3","308"
"01/04/2024 15:00","24.2","0","74","0","10","4.5","289"
"01/04/2024 16:00","24.5","0","73","0","9","2.7","267"
"01/04/2024 17:00","24.5","0","75","0","2","2.5","270"
"01/04/2024 18:00","25.2","0","77","0","0","0.4","308"
"01/04/2024 19:00","26.4","0","77","0","0","2","303"
"01/04/2024 20:00","26.6","0","77","0","0","3.1","287"
"01/04/2024 21:00","26.9","0","78","0","0","3","275"
"01/04/2024 22:00","27.3","0","79","0","0","5.4","279"
"01/04/2024 23:00","26.7","0","78","0","0","4.8","294"
"01/05/2024 00:00","26.5","0","76","0","0","4.4","281"
"01/05/2024 01:00","26.7","0","76","0","0","5.6","290"
"01/05/2024 02:00","26.5","0","75","0","0","4.2","284"
"01/05/2024 03:00","26.5","0","78","0","0","1.4","259"
"01/05/2024 04:00","26.3","0","79","0","0","2.3","246"
"01/05/2024 05:00","25.9","0","80","0","0","2.8","246"
"01/05/2024 06:00","25.9","0","82","0","0","1.9","232"
"01/05/2024 07:00","26","0","82","0","0","2.3","235"
"01/05/2024 08:00","26.1","0","81","0","0","2.6","233"
"01/05/2024 09:00","26","0","80","0","1","2.2","221"
"01/05/2024 10:00","26.3","0","81","0","3","2.3","221"
"01/05/2024 11:00","26.5","0","80","0","5","2.3","225"
"01/05/2024 12:00","26.3","0","80","0","8","3.1","227"
"01/05/2024 13:00","26.4","0","80","0","8","3.5","236"
"01/05/2024 14:00","26.4","0","78","0","7","2.5","232"
"01/05/2024 15:00","26.6","0","78","0","6","2.2","226"
"01/05/2024 16:00","26.6","0","80","0","4","2.4","245"
"01/05/2024 17:00","25.5","0","79","0","2","0.8","247"
"01/05/2024 18:00","23.2","0","83","0","0","2.3","130"
"01/05/2024 19:00","21","0","86","0","0","4.1","129"
"01/05/2024 20:00","18.9","0","89","0","0","3.9","135"
