date,Air Temp ˚F,Precipitation (inches),Relative Humidity (%),Leaf Wetness (minutes),Solar Radiation (langleys),Wind Speed (mph),Wind Direction (degrees)
1/1/2024 0:00,32.6,0.01,96,60,0,1,225
1/1/2024 1:00,32.1,0,96,60,0,0,270
1/1/2024 2:00,32.2,0,97,60,0,0,225
1/1/2024 3:00,32,0,97,60,0,0,225
1/1/2024 4:00,31.8,0,97,60,0,0,225
1/1/2024 5:00,31.9,0,97,60,0,0,225
1/1/2024 6:00,32,0,98,60,0,0,247
1/1/2024 7:00,31.8,0,97,60,0,0,247
1/1/2024 8:00,31.8,0,98,60,0,0,247
1/1/2024 9:00,32.5,0,97,60,2,3.9,231
1/1/2024 10:00,33.6,0,97,43,7,3.4,225
1/1/2024 11:00,33.9,0.06,93,0,16,6.7,269
1/1/2024 12:00,34.1,0,92,0,6,6.1,282
1/1/2024 13:00,34.1,0,91,0,5,6.4,272
1/1/2024 14:00,33.7,0,90,0,4,6,270
1/1/2024 15:00,33.5,0,91,0,3,4.1,292
1/1/2024 16:00,33.8,0,92,0,2,4,268
1/1/2024 17:00,33.7,0,93,0,0,2,270
1/1/2024 18:00,33.7,0,93,0,0,2.3,270
1/1/2024 19:00,34.1,0,93,0,0,3.7,247
1/1/2024 20:00,34.1,0,94,0,0,3.6,256
1/1/2024 21:00,34.4,0,92,0,0,5.3,270
1/1/2024 22:00,34.1,0,89,0,0,6.7,281
1/1/2024 23:00,32.7,0,89,0,0,7.5,293
1/2/2024 0:00,31.3,0,86,0,0,6.6,317
1/2/2024 1:00,30.8,0,86,0,0,4.6,323
1/2/2024 2:00,30.9,0,83,0,0,9.1,279
1/2/2024 3:00,29.7,0,84,0,0,7.9,271
1/2/2024 4:00,28.8,0,82,0,0,8.3,285
1/2/2024 5:00,28.4,0,82,0,0,9.3,286
1/2/2024 6:00,28.7,0,82,0,0,6,292
1/2/2024 7:00,29.1,0,83,0,0,7.8,276
1/2/2024 8:00,28.8,0,82,0,0,7.8,291
1/2/2024 9:00,29.2,0,82,0,2,7.4,286
1/2/2024 10:00,29.4,0.01,81,0,5,11.3,273
1/2/2024 11:00,29.8,0,80,0,9,9.1,292
1/2/2024 12:00,30.6,0,80,0,10,10,292
1/2/2024 13:00,31.2,0,80,0,11,11.3,259
1/2/2024 14:00,31.8,0,80,0,10,9.5,276
1/2/2024 15:00,32.1,0,80,0,9,6.9,273
1/2/2024 16:00,31.7,0,81,0,4,8.5,247
1/2/2024 17:00,31.2,0,80,0,1,8.4,263
1/2/2024 18:00,31.1,0,81,0,0,7.9,266
1/2/2024 19:00,31,0,81,0,0,8.5,257
1/2/2024 20:00,30.6,0,81,0,0,7.8,272
1/2/2024 21:00,29.9,0,83,0,0,4.2,263
1/2/2024 22:00,31,0,80,0,0,7.6,256
1/2/2024 23:00,29.2,0,81,0,0,2.6,244
1/3/2024 0:00,28.9,0,83,0,0,3.9,262
1/3/2024 1:00,30.3,0,82,0,0,5.1,250
1/3/2024 2:00,31.5,0,79,0,0,7.7,273
1/3/2024 3:00,31.7,0,79,0,0,7.1,257
1/3/2024 4:00,31.6,0,78,0,0,9.7,273
1/3/2024 5:00,31.2,0,79,0,0,8,273
1/3/2024 6:00,31.1,0,78,0,0,7.4,282
1/3/2024 7:00,30.8,0,79,0,0,7.3,266
1/3/2024 8:00,30.8,0,80,0,0,7.4,251
1/3/2024 9:00,30.9,0,80,0,2,7.4,274
1/3/2024 10:00,31.4,0,79,0,6,7.5,263
1/3/2024 11:00,32.2,0,77,0,11,7.7,270
1/3/2024 12:00,34.1,0,73,0,31,8.3,264
1/3/2024 13:00,34.7,0,71,0,21,7.3,246
1/3/2024 14:00,35.8,0,69,0,15,7,246
1/3/2024 15:00,37.6,0,63,0,24,5.9,246
1/3/2024 16:00,37.2,0,63,0,12,5.5,247
1/3/2024 17:00,33.2,0,68,0,3,2.4,180
1/3/2024 18:00,31.7,0,80,0,0,2.2,135
1/3/2024 19:00,31.1,0,83,0,0,2.5,157
1/3/2024 20:00,29.6,0,84,0,0,0,157
1/3/2024 21:00,28.8,0,84,0,0,0,157
1/3/2024 22:00,29.7,0,86,0,0,0,270
1/3/2024 23:00,30.2,0,87,0,0,0,270
1/4/2024 0:00,30.4,0,87,0,0,1.2,270
1/4/2024 1:00,31.3,0,86,0,0,0,247
1/4/2024 2:00,31.2,0,87,0,0,0,247
1/4/2024 3:00,32,0,86,0,0,2.1,202
1/4/2024 4:00,32.2,0,86,0,0,3.9,287
1/4/2024 5:00,31.8,0,86,0,0,2.9,247
1/4/2024 6:00,32.1,0,85,0,0,6.1,292
1/4/2024 7:00,32,0,85,0,0,5,292
1/4/2024 8:00,31.6,0,87,0,0,4.6,292
1/4/2024 9:00,32.2,0,84,0,2,6.7,303
1/4/2024 10:00,33.1,0,74,0,10,11.4,299
1/4/2024 11:00,33.1,0,64,0,17,12.2,287
1/4/2024 12:00,33.2,0,65,0,18,12.3,332
1/4/2024 13:00,31.9,0,64,0,12,9.7,321
1/4/2024 14:00,31.6,0,65,0,12,10.7,311
1/4/2024 15:00,32.7,0,58,0,27,11.8,289
1/4/2024 16:00,30.3,0,60,0,14,11.1,297
1/4/2024 17:00,27.9,0,66,0,3,9.3,335
1/4/2024 18:00,26.3,0,70,0,0,6.3,294
1/4/2024 19:00,25.2,0,71,0,0,5.7,292
1/4/2024 20:00,24.6,0,72,0,0,7.3,292
1/4/2024 21:00,23.5,0,73,0,0,10.4,296
1/4/2024 22:00,22.3,0,74,0,0,7.5,321
1/4/2024 23:00,22,0,74,0,0,7.7,288
1/5/2024 0:00,21.8,0,74,0,0,5.6,266
1/5/2024 1:00,22.7,0,74,0,0,5.8,292
1/5/2024 2:00,23.6,0,74,0,0,6.3,279
1/5/2024 3:00,24,0,73,0,0,6.2,293
1/5/2024 4:00,23.9,0,74,0,0,6.5,281
1/5/2024 5:00,23.8,0,73,0,0,4.8,286
1/5/2024 6:00,23.5,0,75,0,0,4.8,291
1/5/2024 7:00,23.3,0,75,0,0,2.8,315
1/5/2024 8:00,23.3,0,75,0,1,7.1,247
1/5/2024 9:00,23.1,0,74,0,7,10.9,284
1/5/2024 10:00,24.6,0,71,0,21,8.2,287
1/5/2024 11:00,27.4,0,68,0,33,6.3,245
1/5/2024 12:00,29.3,0,63,0,38,5.5,303
1/5/2024 13:00,31.5,0,59,0,37,4.6,229
1/5/2024 14:00,33.1,0,56,0,32,5.7,249
1/5/2024 15:00,33.5,0,53,0,23,6.7,250
1/5/2024 16:00,33.9,0,52,0,15,2.7,247
1/5/2024 17:00,31.5,0,59,0,3,3.1,215
1/5/2024 18:00,28.1,0,68,0,0,0.9,196
1/5/2024 19:00,26,0,75,0,0,1.9,157
1/5/2024 20:00,23.7,0,79,0,0,1,225
1/5/2024 21:00,21.8,0,82,0,0,2,292
1/5/2024 22:00,20.8,0,83,0,0,1.1,157
1/5/2024 23:00,20.7,0,84,0,0,0.8,225
1/6/2024 0:00,19.5,0,87,0,0,0.1,157
1/6/2024 1:00,18.3,0,88,0,0,0.5,90
1/6/2024 2:00,20.5,0,90,0,0,1.5,67
1/6/2024 3:00,20.5,0,89,0,0,0.8,90
1/6/2024 4:00,21.7,0,89,0,0,3.2,67
1/6/2024 5:00,21.8,0,88,0,0,5.6,67
1/6/2024 6:00,22.2,0,88,0,0,3.8,67
1/6/2024 7:00,22.7,0,88,0,0,0.3,67
1/6/2024 8:00,23.2,0,88,0,0,2.2,67
1/6/2024 9:00,24.1,0,89,0,1,6.3,96
1/6/2024 10:00,26.9,0,86,0,6,4.9,45
1/6/2024 11:00,29.3,0,75,0,7,3.8,64
1/6/2024 12:00,27.3,0,81,0,7,4.8,101
1/6/2024 13:00,26.8,0,91,0,5,5.7,99
1/6/2024 14:00,27.1,0,94,0,4,4.4,28
1/6/2024 15:00,27.7,0,95,0,2,6.4,45
1/6/2024 16:00,28.3,0,96,0,2,3.6,67
1/6/2024 17:00,28.3,0,97,0,1,4.4,30
1/6/2024 18:00,28.1,0,97,0,0,3.8,67
1/6/2024 19:00,28.5,0,97,0,0,1,135
1/6/2024 20:00,28.8,0,97,53,0,4.7,67
1/6/2024 21:00,29,0,98,60,0,0.8,90
1/6/2024 22:00,29.3,0,98,60,0,0.4,67
1/6/2024 23:00,29.6,0,98,60,0,1.2,67
1/7/2024 0:00,29.3,0,98,60,0,0.2,67
1/7/2024 1:00,29.5,0,98,60,0,0.6,270
1/7/2024 2:00,29.5,0,98,60,0,2.7,270
1/7/2024 3:00,29.3,0,98,60,0,0,225
1/7/2024 4:00,29.5,0,98,60,0,1.8,90
1/7/2024 5:00,29.5,0,98,60,0,2.4,247
1/7/2024 6:00,29.5,0,98,60,0,2.4,247
1/7/2024 7:00,29.5,0,98,60,0,1.5,247
1/7/2024 8:00,29.3,0,99,60,0,0,247
1/7/2024 9:00,31.6,0,99,60,2,5.3,224
1/7/2024 10:00,32.1,0,97,60,3,5.2,264
1/7/2024 11:00,32.8,0,93,60,7,6.5,271
1/7/2024 12:00,33,0,92,60,8,5.5,268
1/7/2024 13:00,33.3,0.01,91,35,7,8.8,284
1/7/2024 14:00,33.7,0,89,0,5,10.2,278
1/7/2024 15:00,34,0,90,0,6,7,253
1/7/2024 16:00,34.1,0,89,0,4,9.6,266
1/7/2024 17:00,33.7,0,91,0,2,8.7,271
1/7/2024 18:00,33.7,0,89,0,0,8.5,270
1/7/2024 19:00,33.3,0,88,0,0,12.3,271
1/7/2024 20:00,33.8,0.01,87,0,0,12.4,276
1/7/2024 21:00,34.1,0,86,0,0,8.9,271
